Name,SetId,Number
"Agatha","","186"
"Agatha","","210"
"Aggron","","59"
"Aggron","","80"
"Aggron","","1"
"Aggron","","2"
"Aggron","","14"
"Aggron","","125"
"Aggron","","67"
"Aggron","","122"
"Aggron","","89"
"Aggron","","123"
"Aggron","","111"
"Aggron ex","","89"
"Aggron ex","","95"
"Aggron Spirit Link","","123"
"Aggron V","","96"
"Aggron VMAX","","97"
"Aggron-EX","","93"
"Aggron-EX","","153"
"Aipom","","99"
"Aipom","","70"
"Aipom","","50"
"Aipom","","51"
"Aipom","","67"
"Aipom","","34"
"Aipom","","43"
"Aipom","","55"
"Aipom","","78"
"Aipom","","26"
"Aipom","","41"
"Aipom","","56"
"Aipom","","169"
"Aipom","","SM244"
"Aipom","","145"
"Aipom","","211"
"Aipom","","137"
"Aipom","","144"
"Aipom","","90"
"Air Balloon","","166"
"Air Balloon","","181"
"Air Balloon","","156"
"Air Balloon","","213"
"Air Balloon","","79"
"Alakazam","","1"
"Alakazam","","2"
"Alakazam","","33"
"Alakazam","","H1"
"Alakazam","","56"
"Alakazam","","82"
"Alakazam ★","","99"
"Alakazam E4","","38"
"Alakazam E4 LV.X","","103"
"Alakazam ex","","65"
"Alakazam ex","","188"
"Alakazam ex","","201"
"Alakazam ex","","215"
"Alakazam ex","","50"
"Alakazam Spirit Link","","90"
"Alakazam V","","172"
"Alakazam V","","SWSH083"
"Alakazam-EX","","25"
"Alakazam-EX","","117"
"Alakazam-EX","","125"
"Alcremie","","44"
"Alcremie","","65"
"Alcremie","","87"
"Alcremie","","81"
"Alcremie","","SV058"
"Alcremie","","71"
"Alcremie","","TG08"
"Alcremie","","SWSH058"
"Alcremie ex","","75"
"Alcremie V","","22"
"Alcremie V","","64"
"Alcremie VMAX","","23"
"Alcremie VMAX","","73"
"All-Night Party","","96"
"Allister","","TG24"
"Allister","","146"
"Allister","","179"
"Allister","","192"
"Alolan Diglett","","9"
"Alolan Diglett","","86"
"Alolan Diglett","","121"
"Alolan Diglett","","78"
"Alolan Diglett","","122"
"Alolan Dugtrio","","11"
"Alolan Dugtrio","","87"
"Alolan Dugtrio","","122"
"Alolan Dugtrio","","79"
"Alolan Dugtrio","","123"
"Alolan Dugtrio","","208"
"Alolan Exeggutor","","2"
"Alolan Exeggutor","","95"
"Alolan Exeggutor","","2a"
"Alolan Exeggutor","","114"
"Alolan Exeggutor","","115"
"Alolan Exeggutor ex","","133"
"Alolan Exeggutor ex","","225"
"Alolan Exeggutor ex","","242"
"Alolan Exeggutor ex","","248"
"Alolan Exeggutor V","","5"
"Alolan Exeggutor V","","71"
"Alolan Exeggutor V","","SWSH225"
"Alolan Exeggutor-GX","","74"
"Alolan Exeggutor-GX","","107"
"Alolan Exeggutor-GX","","118"
"Alolan Geodude","","40"
"Alolan Geodude","","32"
"Alolan Geodude","","34"
"Alolan Geodude","","35"
"Alolan Geodude","","44"
"Alolan Golem","","42"
"Alolan Golem","","37"
"Alolan Golem","","46"
"Alolan Golem-GX","","34"
"Alolan Golem-GX","","102"
"Alolan Golem-GX","","113"
"Alolan Graveler","","41"
"Alolan Graveler","","33"
"Alolan Graveler","","36"
"Alolan Graveler","","45"
"Alolan Grimer","","57"
"Alolan Grimer","","127"
"Alolan Grimer","","130"
"Alolan Grimer","","83"
"Alolan Marowak","","75"
"Alolan Marowak","","12"
"Alolan Marowak","","64"
"Alolan Marowak","","57"
"Alolan Marowak-GX","","SM187"
"Alolan Meowth","","8"
"Alolan Meowth","","10"
"Alolan Meowth","","78"
"Alolan Meowth","","128"
"Alolan Meowth","","118"
"Alolan Meowth","","SM43"
"Alolan Meowth","","SM51"
"Alolan Muk","","58"
"Alolan Muk","","131"
"Alolan Muk","","84"
"Alolan Muk-GX","","84"
"Alolan Muk-GX","","138"
"Alolan Muk-GX","","157"
"Alolan Ninetales","","145"
"Alolan Ninetales","","28"
"Alolan Ninetales","","111"
"Alolan Ninetales","","SM128"
"Alolan Ninetales-GX","","22"
"Alolan Ninetales-GX","","132"
"Alolan Ninetales-GX","","150"
"Alolan Ninetales-GX","","205"
"Alolan Ninetales-GX","","225"
"Alolan Ninetales-GX","","SV53"
"Alolan Persian","","79"
"Alolan Persian","","119"
"Alolan Persian-GX","","129"
"Alolan Persian-GX","","219"
"Alolan Persian-GX","","257"
"Alolan Raichu","","57"
"Alolan Raichu","","31"
"Alolan Raichu","","SM65"
"Alolan Raichu","","SM72"
"Alolan Raticate","","42"
"Alolan Raticate","","77"
"Alolan Raticate","","82"
"Alolan Raticate-GX","","85"
"Alolan Rattata","","41"
"Alolan Rattata","","76"
"Alolan Rattata","","81"
"Alolan Rattata","","84"
"Alolan Sandshrew","","4"
"Alolan Sandshrew","","137"
"Alolan Sandshrew","","19"
"Alolan Sandshrew","","19a"
"Alolan Sandshrew","","28"
"Alolan Sandslash","","138"
"Alolan Sandslash","","20"
"Alolan Sandslash","","29"
"Alolan Sandslash","","SM18"
"Alolan Sandslash","","SM127"
"Alolan Sandslash-GX","","SM236"
"Alolan Vulpix","","39"
"Alolan Vulpix","","21"
"Alolan Vulpix","","21a"
"Alolan Vulpix","","27"
"Alolan Vulpix","","30"
"Alolan Vulpix","","53"
"Alolan Vulpix","","SV8"
"Alolan Vulpix V","","33"
"Alolan Vulpix V","","173"
"Alolan Vulpix VSTAR","","34"
"Alolan Vulpix VSTAR","","197"
"Alomomola","","38"
"Alomomola","","39"
"Alomomola","","37"
"Alomomola","","5"
"Alomomola","","36"
"Alomomola","","48"
"Alomomola","","22"
"Alomomola","","24"
"Alomomola","","108"
"Alph Lithograph","","ONE"
"Alph Lithograph","","TWO"
"Alph Lithograph","","THREE"
"Alph Lithograph","","FOUR"
"Altar of the Moone","","117"
"Altar of the Sunne","","118"
"Altaria","","92"
"Altaria","","84"
"Altaria","","152"
"Altaria","","BW48"
"Altaria","","12"
"Altaria","","2"
"Altaria","","1"
"Altaria","","RC24"
"Altaria","","18"
"Altaria","","80"
"Altaria","","40"
"Altaria","","40a"
"Altaria","","SV37"
"Altaria","","160"
"Altaria","","134"
"Altaria","","143"
"Altaria","","GG19"
"Altaria","","TG11"
"Altaria","","49"
"Altaria","","106"
"Altaria","","53"
"Altaria","","74"
"Altaria","","XY46"
"Altaria C","","49"
"Altaria ex","","90"
"Altaria ex","","140"
"Altaria ex","","232"
"Altaria ex","","253"
"Altaria ex δ","","90"
"Altaria Spirit Link","","91"
"Altaria-EX","","83"
"Altaria-EX","","123"
"Altaria-GX","","41"
"Altaria-GX","","68"
"Altaria-GX","","72"
"Altaria-GX","","SV77"
"Amarys","","93"
"Amarys","","132"
"Amarys","","170"
"Amaura","","27"
"Amaura","","25"
"Ambipom","","100"
"Ambipom","","3"
"Ambipom","","35"
"Ambipom","","13"
"Ambipom","","79"
"Ambipom","","107"
"Ambipom","","57"
"Ambipom","","170"
"Ambipom","","146"
"Ambipom","","138"
"Ambipom","","145"
"Ambipom","","91"
"Ambipom G","","56"
"Amoonguss","","10"
"Amoonguss","","9"
"Amoonguss","","13"
"Amoonguss","","14"
"Amoonguss","","SM202"
"Amoonguss","","12"
"Amoonguss","","11"
"Amoonguss","","96"
"Amoonguss ex","","11"
"Ampharos","","40"
"Ampharos","","BW67"
"Ampharos","","23"
"Ampharos","","1"
"Ampharos","","2"
"Ampharos","","34"
"Ampharos","","H1"
"Ampharos","","14"
"Ampharos","","105"
"Ampharos","","78"
"Ampharos","","109"
"Ampharos","","57"
"Ampharos","","49"
"Ampharos","","56"
"Ampharos ex","","89"
"Ampharos ex","","16"
"Ampharos Spirit Link","","70"
"Ampharos V","","49"
"Ampharos V","","171"
"Ampharos δ","","1"
"Ampharos-EX","","27"
"Ampharos-EX","","87"
"Ampharos-GX","","43"
"Ampharos-GX","","163"
"Ampharos-GX","","185"
"Amulet Coin","","97"
"Amulet of Hope","","162"
"Ancient Booster Energy Capsule","","159"
"Ancient Booster Energy Capsule","","140"
"Ancient Crystal","","118"
"Ancient Ruins","","119"
"Ancient Technical Machine [Ice]","","84"
"Ancient Technical Machine [Rock]","","85"
"Ancient Technical Machine [Steel]","","86"
"Ancient Tomb","","87"
"Annihilape","","109"
"Annihilape","","92"
"Annihilape","","47"
"Annihilape","","171"
"Annihilape","","100"
"Annihilape ex","","242"
"Annihilape ex","","32"
"Anorith","","46"
"Anorith","","29"
"Anorith","","26"
"Anorith","","27"
"Anorith","","28"
"Anorith","","111"
"Anorith","","95"
"Anorith","","56"
"Anorith δ","","57"
"Anthea & Concordia","","182"
"Anthea & Concordia","","254"
"Antique Cover Fossil","","129"
"Antique Cover Fossil","","60"
"Antique Dome Fossil","","152"
"Antique Helix Fossil","","153"
"Antique Old Amber","","154"
"Antique Plume Fossil","","79"
"Antique Root Fossil","","130"
"Appletun","","140"
"Appletun","","211"
"Appletun","","23"
"Appletun","","SV014"
"Appletun","","121"
"Appletun V","","26"
"Applin","","16"
"Applin","","17"
"Applin","","126"
"Applin","","185"
"Applin","","12"
"Applin","","138"
"Applin","","9"
"Applin","","20"
"Applin","","21"
"Applin","","SV012"
"Apricorn Forest","","118"
"Apricorn Maker","","121"
"Apricorn Maker","","124"
"Apricorn Maker","","161"
"Aqua Diffuser","","23"
"Aqua Energy","","86"
"Aqua Patch","","119"
"Aqua Patch","","161"
"Araquanid","","46"
"Araquanid","","49"
"Araquanid","","65"
"Araquanid","","15"
"Araquanid","","17"
"Araquanid","","33"
"Araquanid","","48"
"Araquanid","","20"
"Arbok","","31"
"Arbok","","33"
"Arbok","","3"
"Arbok","","35"
"Arbok","","29"
"Arbok","","63"
"Arbok","","27"
"Arbok","","37"
"Arbok","","101"
"Arbok","","176"
"Arbok","","34"
"Arbok","","48"
"Arbok ex","","24"
"Arbok ex","","185"
"Arbok δ","","13"
"Arboliva","","23"
"Arboliva","","21"
"Arboliva","","104"
"Arboliva ex","","23"
"Arboliva ex","","207"
"Arc Phone","","152"
"Arcade Game","","83"
"Arcanine","","23"
"Arcanine","","33"
"Arcanine","","36"
"Arcanine","","6"
"Arcanine","","12"
"Arcanine","","13"
"Arcanine","","22"
"Arcanine","","2"
"Arcanine","","H2"
"Arcanine","","3"
"Arcanine","","15"
"Arcanine","","18"
"Arcanine","","1"
"Arcanine","","50"
"Arcanine","","28"
"Arcanine","","59"
"Arcanine","","11"
"Arcanine","","20"
"Arcanine","","SWSH304"
"Arcanine BREAK","","XY180"
"Arcanine ex","","83"
"Arcanine ex","","32"
"Arcanine ex","","224"
"Arcanine G","","15"
"Arceus","","DP50"
"Arceus","","AR1"
"Arceus","","AR2"
"Arceus","","AR3"
"Arceus","","AR4"
"Arceus","","AR5"
"Arceus","","AR6"
"Arceus","","AR7"
"Arceus","","AR8"
"Arceus","","AR9"
"Arceus","","XY83"
"Arceus","","XY116"
"Arceus","","XY197"
"Arceus & Dialga & Palkia-GX","","156"
"Arceus & Dialga & Palkia-GX","","220"
"Arceus & Dialga & Palkia-GX","","221"
"Arceus & Dialga & Palkia-GX","","258"
"Arceus ◇","","96"
"Arceus LV.X","","DP53"
"Arceus LV.X","","DP56"
"Arceus LV.X","","94"
"Arceus LV.X","","95"
"Arceus LV.X","","96"
"Arceus V","","122"
"Arceus V","","165"
"Arceus V","","166"
"Arceus V","","SWSH204"
"Arceus V","","SWSH306"
"Arceus VSTAR","","GG70"
"Arceus VSTAR","","123"
"Arceus VSTAR","","176"
"Arceus VSTAR","","184"
"Arceus VSTAR","","SWSH307"
"Archaludon","","75"
"Archaludon","","107"
"Archaludon","","155"
"Archaludon","","70"
"Archaludon ex","","130"
"Archaludon ex","","224"
"Archaludon ex","","241"
"Archen","","53"
"Archen","","66"
"Archen","","50"
"Archen","","131"
"Archen","","120"
"Archen","","146"
"Archeops","","54"
"Archeops","","67"
"Archeops","","110"
"Archeops","","51"
"Archeops","","132"
"Archeops","","121"
"Archeops","","147"
"Archeops","","SWSH272"
"Archie","","71"
"Archie's Ace in the Hole","","124"
"Archie's Ace in the Hole","","157"
"Arctibax","","59"
"Arctibax","","209"
"Arctibax","","129"
"Arctibax","","64"
"Arctovish","","54"
"Arctovish","","SV037"
"Arctovish V","","48"
"Arctovish V","","176"
"Arctozolt","","66"
"Arctozolt","","SV046"
"Arctozolt","","SWSH036"
"Area Zero Underdepths","","131"
"Area Zero Underdepths","","174"
"Area Zero Underdepths","","94"
"Arezu","","153"
"Arezu","","189"
"Arezu","","204"
"Ariados","","20"
"Ariados","","3"
"Ariados","","H3"
"Ariados","","2"
"Ariados","","15"
"Ariados","","27"
"Ariados","","7"
"Ariados","","6"
"Ariados","","10"
"Ariados","","5"
"Ariados","","113"
"Ariados","","4"
"Ariados","","103"
"Ariados","","TG09"
"Armaldo","","18"
"Armaldo","","3"
"Armaldo","","1"
"Armaldo","","112"
"Armaldo","","96"
"Armaldo","","57"
"Armaldo ex","","84"
"Armaldo ex","","16"
"Armaldo δ","","1"
"Armarouge","","41"
"Armarouge","","203"
"Armarouge","","44"
"Armarouge","","15"
"Armarouge","","115"
"Armarouge","","34"
"Armarouge ex","","27"
"Armarouge ex","","218"
"Armarouge ex","","105"
"Armarouge ex","","125"
"Armor Fossil","","116"
"Armor Fossil","","119"
"Armor Fossil Shieldon","","98"
"Armored Mewtwo","","SM228"
"Aroma Lady","","141"
"Aroma Lady","","199"
"Aroma Lady","","221"
"Aromatic Grass Energy","","162"
"Aromatisse","","142"
"Aromatisse","","39"
"Aromatisse","","93"
"Aromatisse","","106"
"Aromatisse","","85"
"Aron","","57"
"Aron","","78"
"Aron","","71"
"Aron","","25"
"Aron","","49"
"Aron","","50"
"Aron","","48"
"Aron","","58"
"Aron","","44"
"Aron","","42"
"Aron","","56"
"Aron","","123"
"Aron","","65"
"Aron","","120"
"Aron","","87"
"Aron","","121"
"Aron","","109"
"Arrokuda","","62"
"Arrokuda","","52"
"Arrokuda","","41"
"Arrokuda","","SV031"
"Arrokuda","","82"
"Arrokuda","","SWSH093"
"Artazon","","171"
"Artazon","","229"
"Artazon","","76"
"Articuno","","2"
"Articuno","","17"
"Articuno","","22"
"Articuno","","48"
"Articuno","","32"
"Articuno","","27"
"Articuno","","1"
"Articuno","","4"
"Articuno","","H3"
"Articuno","","25"
"Articuno","","24"
"Articuno","","16"
"Articuno","","148"
"Articuno","","SM144"
"Articuno","","144"
"Articuno","","161"
"Articuno","","36"
"Articuno ex","","114"
"Articuno ex","","32"
"Articuno-EX","","25"
"Articuno-EX","","132"
"Articuno-GX","","31"
"Articuno-GX","","154"
"Articuno-GX","","171"
"Articuno-GX","","SV54"
"Arven","","166"
"Arven","","235"
"Arven","","249"
"Arven","","186"
"Arven's Greedent","","159"
"Arven's Greedent","","205"
"Arven's Mabosstiff ex","","139"
"Arven's Mabosstiff ex","","218"
"Arven's Mabosstiff ex","","235"
"Arven's Maschiff","","138"
"Arven's Sandwich","","161"
"Arven's Skwovet","","158"
"Arven's Toedscool","","109"
"Arven's Toedscruel","","110"
"Ash-Greninja-EX","","XY133"
"Ash's Pikachu","","SM108"
"Ash's Pikachu","","SM109"
"Ash's Pikachu","","SM110"
"Ash's Pikachu","","SM111"
"Ash's Pikachu","","SM112"
"Ash's Pikachu","","SM113"
"Ash's Pikachu","","SM114"
"Aspertia City Gym","","127"
"Assault Vest","","133"
"Atticus","","77"
"Atticus","","133"
"Atticus","","134"
"Audino","","87"
"Audino","","RC17"
"Audino","","83"
"Audino","","85"
"Audino","","108"
"Audino","","126"
"Audino","","12"
"Audino","","177"
"Audino","","173"
"Audino","","124"
"Audino","","74"
"Audino","","151"
"Audino Spirit Link","","92"
"Audino-EX","","84"
"Aurora Energy","","186"
"Aurorus","","28"
"Aurorus","","26"
"Aurorus-EX","","XY102"
"Avalugg","","30"
"Avalugg","","45"
"Avalugg","","37"
"Avalugg","","31"
"Avery","","130"
"Avery","","187"
"Avery","","211"
"Awakening Drum","","141"
"Axew","","67"
"Axew","","86"
"Axew","","BW10"
"Axew","","BW16"
"Axew","","BW26"
"Axew","","12"
"Axew","","13"
"Axew","","154"
"Axew","","44"
"Axew","","110"
"Axew","","108"
"Axew","","109"
"Axew","","68"
"Axew","","145"
"AZ","","91"
"AZ","","117"
"Azelf","","38"
"Azelf","","4"
"Azelf","","19"
"Azelf","","85"
"Azelf","","43"
"Azelf","","80"
"Azelf","","67"
"Azelf","","XY142"
"Azelf LV.X","","140"
"Azumarill","","37"
"Azumarill","","18"
"Azumarill","","4"
"Azumarill","","H4"
"Azumarill","","114"
"Azumarill","","30"
"Azumarill","","1"
"Azumarill","","2"
"Azumarill","","35"
"Azumarill","","136"
"Azumarill","","45"
"Azumarill","","65"
"Azumarill","","34"
"Azumarill","","74"
"Azumarill","","59"
"Azumarill","","77"
"Azumarill","","103"
"Azumarill","","104"
"Azumarill ex","","84"
"Azumarill δ","","19"
"Azurill","","69"
"Azurill","","20"
"Azurill","","31"
"Azurill","","146"
"Babiri Berry","","163"
"Bagon","","62"
"Bagon","","76"
"Bagon","","53"
"Bagon","","6"
"Bagon","","43"
"Bagon","","23"
"Bagon","","49"
"Bagon","","50"
"Bagon","","52"
"Bagon","","SH10"
"Bagon","","103"
"Bagon","","104"
"Bagon","","42"
"Bagon","","112"
"Bagon","","107"
"Bagon","","1"
"Bagon","","54"
"Bagon","","55"
"Bagon δ","","57"
"Bagon δ","","58"
"Bagon δ","","43"
"Ball Guy","","57"
"Ball Guy","","65"
"Balloon Berry","","82"
"Balloon Berry","","84"
"Balloon Berry","","60"
"Baltoy","","63"
"Baltoy","","60"
"Baltoy","","59"
"Baltoy","","44"
"Baltoy","","32"
"Baltoy","","52"
"Baltoy","","53"
"Baltoy","","43"
"Baltoy","","89"
"Baltoy","","78"
"Baltoy","","94"
"Baltoy","","101"
"Baltoy","","102"
"Baltoy","","93"
"Baltoy","","70"
"Baltoy","","57"
"Baltoy","","144"
"Baltoy","","58"
"Baltoy","","31"
"Banette","","23"
"Banette","","1"
"Banette","","4"
"Banette","","14"
"Banette","","91"
"Banette","","234"
"Banette","","19"
"Banette","","65"
"Banette","","60"
"Banette","","73"
"Banette","","TG07"
"Banette","","68"
"Banette","","63"
"Banette","","31"
"Banette","","32"
"Banette ex","","85"
"Banette ex","","88"
"Banette ex","","229"
"Banette-GX","","66"
"Banette-GX","","157"
"Banette-GX","","174"
"Banette-GX","","SV61"
"Barbaracle","","67"
"Barbaracle","","107"
"Barbaracle","","104"
"Barbaracle","","23"
"Barbaracle","","49"
"Barboach","","72"
"Barboach","","60"
"Barboach","","51"
"Barboach","","54"
"Barboach","","70"
"Barboach","","108"
"Barboach","","50"
"Barboach","","35"
"Barboach","","99"
"Barboach","","39"
"Barraskewda","","63"
"Barraskewda","","53"
"Barraskewda","","42"
"Barraskewda","","SV032"
"Barraskewda","","83"
"Barry","","130"
"Barry","","167"
"Basculin","","35"
"Basculin","","24"
"Basculin","","25"
"Basculin","","30"
"Basculin","","108"
"Basculin","","43"
"Basculin","","70"
"Basic Darkness Energy","","98"
"Basic Darkness Energy","","7"
"Basic Darkness Energy","","15"
"Basic Fighting Energy","","258"
"Basic Fighting Energy","","6"
"Basic Fighting Energy","","14"
"Basic Fire Energy","","230"
"Basic Fire Energy","","2"
"Basic Fire Energy","","10"
"Basic Grass Energy","","278"
"Basic Grass Energy","","1"
"Basic Grass Energy","","9"
"Basic Lightning Energy","","257"
"Basic Lightning Energy","","4"
"Basic Lightning Energy","","12"
"Basic Metal Energy","","99"
"Basic Metal Energy","","8"
"Basic Metal Energy","","16"
"Basic Psychic Energy","","207"
"Basic Psychic Energy","","5"
"Basic Psychic Energy","","13"
"Basic Water Energy","","279"
"Basic Water Energy","","3"
"Basic Water Energy","","11"
"Bastiodon","","21"
"Bastiodon","","20"
"Bastiodon","","1"
"Bastiodon","","14"
"Bastiodon","","85"
"Bastiodon","","110"
"Bastiodon","","70"
"Bastiodon GL","","2"
"Battle Cage","","85"
"Battle Cage","","116"
"Battle City","","BW39"
"Battle Compressor Team Flare Gear","","92"
"Battle Frontier","","71"
"Battle Frontier","","75"
"Battle Reporter","","88"
"Battle Reporter","","109"
"Battle Tower","","134"
"Battle VIP Pass","","225"
"Baxcalibur","","60"
"Baxcalibur","","210"
"Baxcalibur","","130"
"Baxcalibur","","19"
"Bayleef","","40"
"Bayleef","","41"
"Bayleef","","71"
"Bayleef","","35"
"Bayleef","","9"
"Bayleef","","28"
"Bayleef","","29"
"Bayleef","","7"
"Bayleef","","2"
"Bayleef δ","","26"
"Bea","","TG25"
"Bea","","123"
"Bea","","147"
"Bea","","180"
"Bea","","193"
"Beach Court","","167"
"Beach Court","","263"
"Beartic","","30"
"Beartic","","31"
"Beartic","","37"
"Beartic","","41"
"Beartic","","62"
"Beartic","","54"
"Beartic","","49"
"Beartic","","43"
"Beartic","","22"
"Beartic","","26"
"Beartic","","110"
"Beast Ball","","125"
"Beast Bringer","","164"
"Beast Bringer","","229"
"Beast Energy ◇","","117"
"Beast Ring","","102"
"Beast Ring","","102a"
"Beast Ring","","141"
"Beastite","","185"
"Beautifly","","8"
"Beautifly","","19"
"Beautifly","","2"
"Beautifly","","13"
"Beautifly","","219"
"Beautifly","","21"
"Beautifly","","6"
"Beautifly","","26"
"Beautifly","","5"
"Beauty","","148"
"Beauty","","181"
"Beauty","","194"
"Bebe's Search","","109"
"Bebe's Search","","119"
"Bebe's Search","","89"
"Bede","","157"
"Bede","","199"
"Bede","","207"
"Bede","","124"
"Bede","","50"
"Beedrill","","17"
"Beedrill","","21"
"Beedrill","","20"
"Beedrill","","3"
"Beedrill","","13"
"Beedrill","","5"
"Beedrill","","H4"
"Beedrill","","1"
"Beedrill","","12"
"Beedrill","","18"
"Beedrill","","15"
"Beedrill","","4"
"Beedrill","","7"
"Beedrill G","","53"
"Beedrill Spirit Link","","XY159"
"Beedrill V","","1"
"Beedrill V","","160"
"Beedrill V","","161"
"Beedrill δ","","1"
"Beedrill-EX","","XY157"
"Beginning Door","","DP54"
"Beginning Door","","82"
"Beheeyem","","56"
"Beheeyem","","62"
"Beheeyem","","70"
"Beheeyem","","91"
"Beheeyem","","74"
"Beheeyem","","80"
"Beheeyem","","41"
"Beheeyem","","121"
"Beheeyem BREAK","","XY135"
"Beldum","","50"
"Beldum","","83"
"Beldum","","84"
"Beldum","","45"
"Beldum","","28"
"Beldum","","29"
"Beldum","","54"
"Beldum","","55"
"Beldum","","44"
"Beldum","","43"
"Beldum","","22"
"Beldum","","90"
"Beldum","","92"
"Beldum","","93"
"Beldum","","SV30"
"Beldum","","113"
"Beldum","","61"
"Beldum","","117"
"Beldum","","116"
"Beldum","","1"
"Beldum","","47"
"Beldum δ","","59"
"Bellelba & Brycen-Man","","186"
"Bellibolt","","77"
"Bellibolt","","78"
"Bellibolt","","201"
"Bellibolt","","74"
"Bellibolt","","94"
"Bellibolt ex","","79"
"Bellibolt ex","","237"
"Bellossom","","4"
"Bellossom","","20"
"Bellossom","","5"
"Bellossom","","H5"
"Bellossom","","3"
"Bellossom","","16"
"Bellossom","","1"
"Bellossom δ","","19"
"Bellsprout","","49"
"Bellsprout","","66"
"Bellsprout","","85"
"Bellsprout","","45"
"Bellsprout","","68"
"Bellsprout","","53"
"Bellsprout","","57"
"Bellsprout","","13"
"Bellsprout","","1"
"Bellsprout","","69"
"Bench Shield","","83"
"Bent Spoon","","93"
"Bergmite","","29"
"Bergmite","","47"
"Bergmite","","44"
"Bergmite","","36"
"Bergmite","","30"
"Berry","","99"
"Bertha's Warmth","","90"
"Bewear","","12"
"Bewear","","112"
"Bewear","","182"
"Bewear","","113"
"Bewear","","111"
"Bewear","","56"
"Bewear","","SM49"
"Bewear","","53"
"Bewear","","79"
"Bewear","","150"
"Bewear","","151"
"Bewear-GX","","SM34"
"Bianca","","109"
"Bianca","","90"
"Bianca","","147"
"Bianca's Devotion","","142"
"Bianca's Devotion","","197"
"Bianca's Devotion","","209"
"Bibarel","","107"
"Bibarel","","20"
"Bibarel","","32"
"Bibarel","","60"
"Bibarel","","51"
"Bibarel","","16"
"Bibarel","","172"
"Bibarel","","GG25"
"Bibarel","","121"
"Bibarel","","SWSH188"
"Bibarel","","118"
"Bicycle","","117"
"Bidoof","","106"
"Bidoof","","70"
"Bidoof","","73"
"Bidoof","","54"
"Bidoof","","59"
"Bidoof","","91"
"Bidoof","","11"
"Bidoof","","171"
"Bidoof","","111"
"Bidoof","","GG29"
"Bidoof","","120"
"Bidoof","","29"
"Bidoof","","116"
"Bidoof","","117"
"Big Air Balloon","","155"
"Big Charm","","158"
"Big Charm","","206"
"Big Malasada","","114"
"Big Parasol","","157"
"Big Parasol","","199"
